For School table Students:
"201", "201", "8", "8", "8", "8"
"202", "202", "17", "17", "17", "17"
"203", "203", "12", "12", "12", "12"
"204", "204", "19", "19", "19", "19"
"205", "205", "35", "35", "35", "35"
"206", "206", "29", "29", "29", "29"
"208", "208", "43", "43", "43", "43"
"210", "210", "96", "96", "96", "96"
"211", "211", "56", "56", "56", "56"
"213", "213", "57", "57", "57", "57"
"215", "215", "20", "20", "20", "20"
"216", "216", "19", "19", "19", "19"
"217", "217", "22", "22", "22", "22"
"219", "219", "23", "23", "23", "23"
"220", "220", "45", "45", "45", "45"
"221", "221", "99", "99", "99", "99"
"222", "222", "98", "98", "98", "98"
"223", "223", "81", "81", "81", "81"
"224", "224", "47", "47", "47", "47"
"225", "225", "11", "11", "11", "11"
"226", "226", "12", "12", "12", "12"
"227", "227", "74", "74", "74", "74"
"228", "228", "88", "88", "88", "88"
"229", "229", "48", "48", "48", "48"
"230", "230", "12", "12", "12", "12"
"231", "231", "72", "72", "72", "72"
"232", "232", "19", "19", "19", "19"
"233", "233", "38", "38", "38", "38"
"235", "235", "86", "86", "86", "86"
"236", "236", "13", "13", "13", "13"
"237", "237", "96", "96", "96", "96"
"238", "238", "91", "91", "91", "91"
"239", "239", "34", "34", "34", "34"
"241", "241", "91", "91", "91", "91"
"243", "243", "50", "50", "50", "50"
"244", "244", "38", "38", "38", "38"
"245", "245", "73", "73", "73", "73"
"246", "246", "48", "48", "48", "48"
"247", "247", "21", "21", "21", "21"
"248", "248", "78", "78", "78", "78"
"249", "249", "88", "88", "88", "88"
